reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
36773bdc-c113-44ce-9eaa-78070dc31a5e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,m malas menjawab tapi game kesukaan,5,0,,2025-09-17 12:31:39,,,
dbddaf78-3ed0-4fa2-a957-1f58f4ed09c7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya bagus banget karna ada shader nya tanpa mod,5,0,1.21.101.1,2025-09-17 12:11:07,,,1.21.101.1
7d3a251d-a7fe-4752-92a3-85cd18a37c48,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mojang kamu islam bukan?,5,0,1.21.101.1,2025-09-17 12:10:38,,,1.21.101.1
600e6ed6-c92d-4fc2-b91a-34569cc0fea1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,boring banget tapi seru,5,0,1.21.101.1,2025-09-17 11:38:07,,,1.21.101.1
8bef8613-43c8-4ff1-80ee-b5ffe1df2a66,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nice game,5,0,1.21.101.1,2025-09-17 11:20:24,,,1.21.101.1
17a615b2-bf38-4548-ad0d-3c2eba6cc2ca,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game android yang sangat ba Gus,5,0,1.21.101.1,2025-09-17 10:56:03,,,1.21.101.1
44ca21de-b913-418f-a453-bc40ba2982bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pls give me coin Minecraft,5,0,,2025-09-17 10:44:10,,,
3b32ca6f-358e-4340-ae34-bbbe64b7670b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mmk ewe ewe,5,0,1.21.101.1,2025-09-17 09:49:40,,,1.21.101.1
99406019-9792-40e4-82fa-f9fd08af7af2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game ini bagus aku sangat menyuukaiya,5,0,,2025-09-17 09:42:08,,,
1487e244-c632-4976-9a80-efd22cf23eb2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,EKSPLORASI SERU DAN BANYAK SIND YANG BAGUS TETAPI BANYAK BUG,5,0,1.21.101.1,2025-09-17 08:15:51,,,1.21.101.1
6e16ede2-449a-4083-a123-7fd9705ed7c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Game ini seru sekali,5,0,1.21.101.1,2025-09-17 06:25:44,,,1.21.101.1
1088d0e7-6452-4f5d-b7fd-be9fb03dfc22,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gameplay nya santai dan tidak bikin emosi, cocok buat kalian yang punya kreativitas tinggi",4,0,1.21.101.1,2025-09-17 05:05:19,,,1.21.101.1
2e53e151-31da-491b-8ccd-fc95c6e9c13c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,i love minecraft,5,0,1.21.101.1,2025-09-17 00:37:37,,,1.21.101.1
6445aa04-044b-4d56-93de-d1fe5044e194,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gak update² jirr,1,0,1.21.101.1,2025-09-17 00:15:01,,,1.21.101.1
676df2dd-f861-4a4c-9927-6df04a854e23,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya ngebug gak bisa naruh block kayak ada block penghalang nya padahal main di survival tolong di benerin🙏,1,0,,2025-09-16 23:56:03,,,
